round_index,model_version,model_score,random_score,score_delta_vs_random,model_max_hits,model_mean_hits,model_ge3,model_ge4,random_max_hits,random_mean_hits,random_ge3,random_ge4
266,evo-g00613-c01-ac96dbf10a,2.120000,3.220000,-1.100000,2,1.200000,0,0,2.750000,1.575000,0.625000,0.125000
267,evo-g00613-c01-ac96dbf10a,2.100000,2.383750,-0.283750,2,1.000000,0,0,2.125000,1.275000,0.375000,0.000000
268,evo-g00613-c01-ac96dbf10a,5.300000,3.192500,2.107500,4,2.000000,1,1,2.750000,1.300000,0.625000,0.125000
269,evo-g00613-c01-ac96dbf10a,5.320000,2.677500,2.642500,4,2.200000,1,1,2.375000,1.275000,0.500000,0.000000
270,evo-g00613-c01-ac96dbf10a,3.490000,3.137500,0.352500,3,1.400000,1,0,2.625000,1.500000,0.500000,0.250000
271,evo-g00613-c01-ac96dbf10a,3.550000,3.036250,0.513750,3,2.000000,1,0,2.625000,1.425000,0.500000,0.125000
272,evo-g00613-c01-ac96dbf10a,2.180000,2.973750,-0.793750,2,1.800000,0,0,2.625000,1.300000,0.625000,0.000000
273,evo-g00613-c01-ac96dbf10a,5.400000,3.298750,2.101250,4,3.000000,1,1,2.750000,1.425000,0.625000,0.250000
274,evo-g00613-c01-ac96dbf10a,3.550000,2.636250,0.913750,3,2.000000,1,0,2.375000,1.300000,0.375000,0.000000
275,evo-g00613-c01-ac96dbf10a,6.360000,1.982500,4.377500,5,2.600000,1,1,1.875000,1.075000,0.000000,0.000000
276,evo-g00613-c01-ac96dbf10a,3.430000,3.043750,0.386250,3,0.800000,1,0,2.625000,1.500000,0.500000,0.125000
277,evo-g00613-c01-ac96dbf10a,3.550000,2.817500,0.732500,3,2.000000,1,0,2.500000,1.425000,0.500000,0.000000
278,evo-g00613-c01-ac96dbf10a,5.340000,3.222500,2.117500,4,2.400000,1,1,2.750000,1.600000,0.625000,0.125000
279,evo-g00613-c01-ac96dbf10a,3.550000,2.817500,0.732500,3,2.000000,1,0,2.500000,1.425000,0.500000,0.000000
280,evo-g00613-c01-ac96dbf10a,3.550000,3.053750,0.496250,3,2.000000,1,0,2.625000,1.600000,0.500000,0.125000
281,evo-g00613-c01-ac96dbf10a,2.100000,2.988750,-0.888750,2,1.000000,0,0,2.625000,1.450000,0.625000,0.000000
282,evo-g00613-c01-ac96dbf10a,2.080000,2.158750,-0.078750,2,0.800000,0,0,2.000000,1.150000,0.125000,0.000000
283,evo-g00613-c01-ac96dbf10a,3.570000,3.156250,0.413750,3,2.200000,1,0,2.750000,1.375000,0.500000,0.125000
284,evo-g00613-c01-ac96dbf10a,2.080000,2.633750,-0.553750,2,0.800000,0,0,2.375000,1.275000,0.375000,0.000000
285,evo-g00613-c01-ac96dbf10a,2.160000,2.973750,-0.813750,2,1.600000,0,0,2.625000,1.300000,0.625000,0.000000
286,evo-g00613-c01-ac96dbf10a,1.080000,2.378750,-1.298750,1,0.800000,0,0,2.125000,1.225000,0.375000,0.000000
287,evo-g00613-c01-ac96dbf10a,2.060000,3.272500,-1.212500,2,0.600000,0,0,2.750000,1.600000,0.500000,0.250000
288,evo-g00613-c01-ac96dbf10a,2.120000,3.258750,-1.138750,2,1.200000,0,0,2.750000,1.525000,0.750000,0.125000
289,evo-g00613-c01-ac96dbf10a,1.080000,2.822500,-1.742500,1,0.800000,0,0,2.500000,1.475000,0.500000,0.000000
